datetime,Open,High,Low,Close,Volume
2025-07-22 08:05:00,,,,,
2025-07-22 08:10:00,,,,,
2025-07-22 08:15:00,23.1,23.1,23.1,23.1,100.0
2025-07-22 08:20:00,,,,,
2025-07-22 08:25:00,,,,,
2025-07-22 08:30:00,,,,,
2025-07-22 08:35:00,,,,,
2025-07-22 08:40:00,,,,,
2025-07-22 08:45:00,,,,,
2025-07-22 08:50:00,23.0,23.0,23.0,23.0,41.0
2025-07-22 08:55:00,,,,,
2025-07-22 09:00:00,,,,,
2025-07-22 09:05:00,,,,,
2025-07-22 09:10:00,,,,,
2025-07-22 09:15:00,,,,,
2025-07-22 09:20:00,,,,,
2025-07-22 09:25:00,,,,,
2025-07-22 09:30:00,,,,,
2025-07-22 09:35:00,,,,,
2025-07-22 09:40:00,,,,,
2025-07-22 09:45:00,,,,,
2025-07-22 09:50:00,,,,,
2025-07-22 09:55:00,,,,,
2025-07-22 10:00:00,,,,,
2025-07-22 10:05:00,,,,,
2025-07-22 10:10:00,,,,,
2025-07-22 10:15:00,,,,,
2025-07-22 10:20:00,,,,,
2025-07-22 10:25:00,,,,,
2025-07-22 10:30:00,,,,,
2025-07-22 10:35:00,,,,,
2025-07-22 10:40:00,,,,,
2025-07-22 10:45:00,,,,,
2025-07-22 10:50:00,,,,,
2025-07-22 10:55:00,,,,,
2025-07-22 11:00:00,,,,,
2025-07-22 11:05:00,,,,,
2025-07-22 11:10:00,,,,,
2025-07-22 11:15:00,,,,,
2025-07-22 11:20:00,23.2,23.2,23.2,23.2,150.0
2025-07-22 11:25:00,,,,,
2025-07-22 11:30:00,,,,,
2025-07-22 11:35:00,,,,,
2025-07-22 11:40:00,,,,,
2025-07-22 11:45:00,,,,,
2025-07-22 11:50:00,,,,,
2025-07-22 11:55:00,,,,,
2025-07-22 12:00:00,,,,,
2025-07-22 12:05:00,,,,,
2025-07-22 12:10:00,,,,,
2025-07-22 12:15:00,,,,,
2025-07-22 12:20:00,,,,,
2025-07-22 12:25:00,,,,,
2025-07-22 12:30:00,,,,,
2025-07-22 12:35:00,,,,,
2025-07-22 12:40:00,,,,,
2025-07-22 12:45:00,,,,,
2025-07-22 12:50:00,,,,,
2025-07-22 12:55:00,,,,,
2025-07-22 13:00:00,,,,,
2025-07-22 13:05:00,,,,,
2025-07-22 13:10:00,,,,,
2025-07-22 13:15:00,,,,,
2025-07-22 13:20:00,,,,,
2025-07-22 13:25:00,,,,,
2025-07-22 13:30:00,,,,,
2025-07-22 13:35:00,,,,,
2025-07-22 13:40:00,,,,,
2025-07-22 13:45:00,,,,,
2025-07-22 13:50:00,,,,,
2025-07-22 13:55:00,22.899999,22.899999,22.899999,22.899999,
2025-07-22 14:00:00,,,,,
2025-07-22 14:05:00,,,,,
2025-07-22 14:10:00,,,,,
2025-07-22 14:15:00,,,,,
2025-07-22 14:20:00,,,,,
2025-07-22 14:25:00,,,,,
2025-07-22 14:30:00,,,,,
2025-07-22 14:35:00,,,,,
2025-07-22 14:40:00,,,,,
2025-07-22 14:45:00,,,,,
2025-07-22 14:50:00,,,,,
2025-07-22 14:55:00,,,,,
2025-07-22 15:00:00,,,,,
2025-07-22 15:05:00,,,,,
2025-07-22 15:10:00,23.1,23.1,23.1,23.1,962.0
2025-07-22 15:15:00,,,,,
2025-07-22 15:20:00,,,,,
2025-07-22 15:25:00,,,,,
2025-07-22 15:30:00,23.1,23.1,23.1,23.1,
2025-07-23 07:00:00,23.1,23.1,23.1,23.1,3.0
2025-07-23 07:05:00,,,,,
2025-07-23 07:10:00,,,,,
2025-07-23 07:15:00,,,,,
2025-07-23 07:20:00,,,,,
2025-07-23 07:25:00,,,,,
2025-07-23 07:30:00,,,,,
2025-07-23 07:35:00,,,,,
2025-07-23 07:40:00,,,,,
2025-07-23 07:45:00,,,,,
2025-07-23 07:50:00,,,,,
2025-07-23 07:55:00,,,,,
2025-07-23 08:00:00,,,,,
2025-07-23 08:05:00,,,,,
2025-07-23 08:10:00,,,,,
2025-07-23 08:15:00,,,,,
2025-07-23 08:20:00,,,,,
2025-07-23 08:25:00,,,,,
2025-07-23 08:30:00,,,,,
2025-07-23 08:35:00,,,,,
2025-07-23 08:40:00,,,,,
2025-07-23 08:45:00,,,,,
2025-07-23 08:50:00,,,,,
2025-07-23 08:55:00,,,,,
2025-07-23 09:00:00,,,,,
2025-07-23 09:05:00,,,,,
2025-07-23 09:10:00,,,,,
2025-07-23 09:15:00,,,,,
2025-07-23 09:20:00,,,,,
2025-07-23 09:25:00,,,,,
2025-07-23 09:30:00,,,,,
2025-07-23 09:35:00,,,,,
2025-07-23 09:40:00,,,,,
2025-07-23 09:45:00,,,,,
2025-07-23 09:50:00,,,,,
2025-07-23 09:55:00,,,,,
2025-07-23 10:00:00,,,,,
2025-07-23 10:05:00,,,,,
2025-07-23 10:10:00,,,,,
2025-07-23 10:15:00,,,,,
2025-07-23 10:20:00,,,,,
2025-07-23 10:25:00,,,,,
2025-07-23 10:30:00,,,,,
2025-07-23 10:35:00,,,,,
2025-07-23 10:40:00,,,,,
2025-07-23 10:45:00,,,,,
2025-07-23 10:50:00,,,,,
2025-07-23 10:55:00,22.799999,22.799999,22.799999,22.799999,42.0
2025-07-23 11:00:00,,,,,
2025-07-23 11:05:00,,,,,
2025-07-23 11:10:00,,,,,
2025-07-23 11:15:00,,,,,
2025-07-23 11:20:00,,,,,
2025-07-23 11:25:00,,,,,
2025-07-23 11:30:00,,,,,
2025-07-23 11:35:00,,,,,
2025-07-23 11:40:00,,,,,
2025-07-23 11:45:00,23.0,23.0,23.0,23.0,75.0
2025-07-23 11:50:00,,,,,
2025-07-23 11:55:00,,,,,
2025-07-23 12:00:00,,,,,
2025-07-23 12:05:00,,,,,
2025-07-23 12:10:00,,,,,
2025-07-23 12:15:00,,,,,
2025-07-23 12:20:00,,,,,
2025-07-23 12:25:00,,,,,
2025-07-23 12:30:00,,,,,
2025-07-23 12:35:00,,,,,
2025-07-23 12:40:00,,,,,
2025-07-23 12:45:00,,,,,
2025-07-23 12:50:00,,,,,
2025-07-23 12:55:00,,,,,
2025-07-23 13:00:00,,,,,
2025-07-23 13:05:00,,,,,
2025-07-23 13:10:00,,,,,
2025-07-23 13:15:00,,,,,
2025-07-23 13:20:00,,,,,
2025-07-23 13:25:00,,,,,
2025-07-23 13:30:00,,,,,
2025-07-23 13:35:00,,,,,
2025-07-23 13:40:00,,,,,
2025-07-23 13:45:00,,,,,
2025-07-23 13:50:00,,,,,
2025-07-23 13:55:00,,,,,
2025-07-23 14:00:00,,,,,
2025-07-23 14:05:00,,,,,
2025-07-23 14:10:00,,,,,
2025-07-23 14:15:00,,,,,
2025-07-23 14:20:00,,,,,
2025-07-23 14:25:00,,,,,
2025-07-23 14:30:00,,,,,
2025-07-23 14:35:00,,,,,
2025-07-23 14:40:00,,,,,
2025-07-23 14:45:00,,,,,
2025-07-23 14:50:00,,,,,
2025-07-23 14:55:00,,,,,
2025-07-23 15:00:00,,,,,
2025-07-23 15:05:00,,,,,
2025-07-23 15:10:00,,,,,
2025-07-23 15:15:00,,,,,
2025-07-23 15:20:00,,,,,
2025-07-23 15:25:00,,,,,
2025-07-23 15:30:00,22.899999,22.899999,22.899999,22.899999,
2025-07-24 07:00:00,,,,,
2025-07-24 07:05:00,,,,,
2025-07-24 07:10:00,,,,,
2025-07-24 07:15:00,,,,,
2025-07-24 07:20:00,,,,,
2025-07-24 07:25:00,,,,,
2025-07-24 07:30:00,,,,,
2025-07-24 07:35:00,,,,,
2025-07-24 07:40:00,,,,,
2025-07-24 07:45:00,,,,,
2025-07-24 07:50:00,,,,,
2025-07-24 07:55:00,,,,,
2025-07-24 08:00:00,,,,,
2025-07-24 08:05:00,,,,,
2025-07-24 08:10:00,,,,,
2025-07-24 08:15:00,,,,,
2025-07-24 08:20:00,,,,,
2025-07-24 08:25:00,,,,,
2025-07-24 08:30:00,,,,,
2025-07-24 08:35:00,,,,,
2025-07-24 08:40:00,,,,,
2025-07-24 08:45:00,,,,,
2025-07-24 08:50:00,,,,,
2025-07-24 08:55:00,,,,,
2025-07-24 09:00:00,,,,,
2025-07-24 09:05:00,,,,,
2025-07-24 09:10:00,,,,,
2025-07-24 09:15:00,,,,,
2025-07-24 09:20:00,,,,,
2025-07-24 09:25:00,,,,,
2025-07-24 09:30:00,,,,,
2025-07-24 09:35:00,,,,,
2025-07-24 09:40:00,,,,,
2025-07-24 09:45:00,,,,,
2025-07-24 09:50:00,,,,,
2025-07-24 09:55:00,,,,,
2025-07-24 10:00:00,,,,,
2025-07-24 10:05:00,,,,,
2025-07-24 10:10:00,,,,,
2025-07-24 10:15:00,,,,,
2025-07-24 10:20:00,,,,,
2025-07-24 10:25:00,,,,,
2025-07-24 10:30:00,,,,,
2025-07-24 10:35:00,,,,,
2025-07-24 10:40:00,,,,,
2025-07-24 10:45:00,,,,,
2025-07-24 10:50:00,,,,,
2025-07-24 10:55:00,,,,,
2025-07-24 11:00:00,,,,,
2025-07-24 11:05:00,,,,,
2025-07-24 11:10:00,,,,,
2025-07-24 11:15:00,,,,,
2025-07-24 11:20:00,,,,,
2025-07-24 11:25:00,,,,,
2025-07-24 11:30:00,,,,,
2025-07-24 11:35:00,,,,,
2025-07-24 11:40:00,,,,,
2025-07-24 11:45:00,,,,,
2025-07-24 11:50:00,,,,,
2025-07-24 11:55:00,,,,,
2025-07-24 12:00:00,,,,,
2025-07-24 12:05:00,,,,,
2025-07-24 12:10:00,,,,,
2025-07-24 12:15:00,,,,,
2025-07-24 12:20:00,,,,,
2025-07-24 12:25:00,,,,,
2025-07-24 12:30:00,,,,,
2025-07-24 12:35:00,,,,,
2025-07-24 12:40:00,,,,,
2025-07-24 12:45:00,,,,,
2025-07-24 12:50:00,,,,,
2025-07-24 12:55:00,,,,,
2025-07-24 13:00:00,,,,,
2025-07-24 13:05:00,,,,,
2025-07-24 13:10:00,,,,,
2025-07-24 13:15:00,,,,,
2025-07-24 13:20:00,,,,,
2025-07-24 13:25:00,,,,,
2025-07-24 13:30:00,,,,,
2025-07-24 13:35:00,,,,,
2025-07-24 13:40:00,,,,,
2025-07-24 13:45:00,,,,,
2025-07-24 13:50:00,,,,,
2025-07-24 13:55:00,,,,,
2025-07-24 14:00:00,,,,,
2025-07-24 14:05:00,,,,,
2025-07-24 14:10:00,,,,,
2025-07-24 14:15:00,,,,,
2025-07-24 14:20:00,23.0,23.0,23.0,23.0,242.0
2025-07-24 14:25:00,,,,,
2025-07-24 14:30:00,,,,,
2025-07-24 14:35:00,,,,,
2025-07-24 14:40:00,,,,,
2025-07-24 14:45:00,,,,,
2025-07-24 14:50:00,,,,,
2025-07-24 14:55:00,,,,,
2025-07-24 15:00:00,,,,,
2025-07-24 15:05:00,,,,,
2025-07-24 15:10:00,,,,,
2025-07-24 15:15:00,,,,,
2025-07-24 15:20:00,,,,,
2025-07-24 15:25:00,23.0,23.0,23.0,23.0,20.0
2025-07-24 15:30:00,23.1,23.1,23.1,23.1,
