datetime,Open,High,Low,Close,Volume
2022-07-28 10:00:00,,,,,
2022-07-28 10:05:00,,,,,
2022-07-28 10:10:00,,,,,
2022-07-28 10:15:00,,,,,
2022-07-28 10:20:00,,,,,
2022-07-28 10:25:00,,,,,
2022-07-28 10:30:00,,,,,
2022-07-28 10:35:00,,,,,
2022-07-28 10:40:00,,,,,
2022-07-28 10:45:00,,,,,
2022-07-28 10:50:00,,,,,
2022-07-28 10:55:00,,,,,
2022-07-28 11:00:00,32.918,32.918,32.918,32.918,35.0
2022-07-28 11:05:00,,,,,
2022-07-28 11:10:00,,,,,
2022-07-28 11:15:00,,,,,
2022-07-28 11:20:00,,,,,
2022-07-28 11:25:00,,,,,
2022-07-28 11:30:00,,,,,
2022-07-28 11:35:00,,,,,
2022-07-28 11:40:00,,,,,
2022-07-28 11:45:00,,,,,
2022-07-28 11:50:00,,,,,
2022-07-28 11:55:00,,,,,
2022-07-28 12:00:00,,,,,
2022-07-28 12:05:00,,,,,
2022-07-28 12:10:00,,,,,
2022-07-28 12:15:00,,,,,
2022-07-28 12:20:00,,,,,
2022-07-28 12:25:00,,,,,
2022-07-28 12:30:00,,,,,
2022-07-28 12:35:00,,,,,
2022-07-28 12:40:00,,,,,
2022-07-28 12:45:00,32.608,32.608,32.608,32.608,50.0
2022-07-28 12:50:00,,,,,
2022-07-28 12:55:00,,,,,
2022-07-28 13:00:00,,,,,
2022-07-28 13:05:00,,,,,
2022-07-28 13:10:00,,,,,
2022-07-28 13:15:00,,,,,
2022-07-28 13:20:00,,,,,
2022-07-28 13:25:00,,,,,
2022-07-28 13:30:00,,,,,
2022-07-28 13:35:00,,,,,
2022-07-28 13:40:00,,,,,
2022-07-28 13:45:00,33.128,33.128,33.128,33.128,660.0
2022-07-28 13:50:00,32.842,32.842,32.842,32.842,650.0
2022-07-28 13:55:00,,,,,
2022-07-28 14:00:00,,,,,
2022-07-28 14:05:00,,,,,
2022-07-28 14:10:00,,,,,
2022-07-28 14:15:00,,,,,
2022-07-28 14:20:00,,,,,
2022-07-28 14:25:00,,,,,
2022-07-28 14:28:55,32.461,32.461,32.461,32.461,
2022-07-28 14:30:00,,,,,
2022-07-28 14:35:00,,,,,
2022-07-28 14:40:00,,,,,
2022-07-28 14:45:00,,,,,
2022-07-28 14:50:00,,,,,
